Name,TotalTime,RecipeCategory,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,Price
Breakfast Oats &amp; Fruit,10,Breakfast,"old fashioned oats, water, banana, wheat germ, ground flax seeds, frozen blueberries, berries, raisins, flax seeds, wheat germ, coconut",215.9,2.2,0.5,0.0,13.8,47.1,6.5,15.3,6.0,27
Tex-Mex Migas,15,Breakfast,"eggs, salsa, olive oil, onion, corn tortillas, cheese, salsa, pico de gallo, cheese, sour cream, avocado, cilantro, scallion, tortilla",378.2,24.4,8.5,441.1,623.0,19.9,2.7,3.7,20.4,31
Cranberry Chocolate Oatmeal,15,Breakfast,"oats, soymilk, water, almond butter, cranberries, cranberries, raisins, honey, cinnamon, dark chocolate",412.3,20.8,6.1,0.0,112.7,51.6,8.9,13.2,13.9,27
"Very Healthy Oatmeal, Rhubarb, Orange and Ginger Pudding",10,Breakfast,"oatmeal, oatmeal, vanilla flavoring, rhubarb, rhubarb, ground ginger, Splenda sugar substitute, sugar, baking soda, cream of tartar, caraway seed, milk, milk, marmalade, marmalade, nonfat yogurt",342.7,4.3,0.8,2.1,711.6,63.4,9.7,16.1,15.2,34
Fresh Cranberry Waffles With Orange Butter Sauce,15,Breakfast,"nonfat yogurt, low fat cottage cheese, low-fat buttermilk, pure vanilla extract, unbleached flour, baking powder, sugar, fresh cranberries, butter, honey, orange zest",969.7,21.1,7.9,35.2,891.8,166.8,5.4,109.8,33.5,23
Banana-Coconut Pancakes,15,Breakfast,"all-purpose flour, baking powder, cinnamon, baking soda, salt, sweetened flaked coconut, light brown sugar, butter, bananas, buttermilk, vanilla",430.1,21.6,14.9,41.9,606.4,55.9,3.3,24.4,5.5,36
Apple Cinnamon Buttermilk Pancakes,15,Breakfast,"baking soda, flour, baking powder, brown sugar, salt, ground cinnamon, eggs, buttermilk, sour cream, butter, margarine, apple",515.2,21.1,12.0,142.1,1337.6,68.7,3.4,18.2,13.5,5
Blueberry-Bananas Pancakes,15,Breakfast,"all-purpose flour, all-purpose flour, baking powder, sugar, salt, bananas, milk, vanilla extract, sour cream, blueberries",671.2,10.9,6.1,29.3,1614.0,126.4,6.9,24.9,17.9,23
Tunisian  Omelet,15,Breakfast,"eggs, ground sausage, beef, onion, garlic clove, caraway seed, paprika, olive oil, cayenne, green pepper",403.2,31.5,9.1,412.8,506.1,7.1,1.6,3.0,22.1,42
Low Fat Chorizo,10,Breakfast,"ground chicken, ground turkey, crushed red pepper flakes, dried chipotle chile, chili powder, cumin, garlic powder, salt, pepper, vinegar",97.3,2.6,0.6,53.0,459.0,1.1,0.5,0.2,16.4,32
SCD Chewy Monster Cookies,15,Dessert,"unsalted butter, honey, egg, baking soda, salt, ground cinnamon, vanilla extract, raisins, walnuts, pecans",835.4,51.7,24.1,107.5,391.7,96.9,4.8,84.7,8.3,36
Honey-Glazed Beehive Cake,15,Dessert,"cake flour, cake flour, baking powder, baking soda, salt, ground cinnamon, ground cloves, unsalted butter, light brown sugar, honey, vanilla, eggs, cream of tartar, honey, unsalted butter, vanilla, water, confectioners' sugar, marzipan, almond paste",764.9,26.9,14.5,183.4,451.2,124.8,1.7,86.9,10.1,22
Apple Cobblers Cookies,10,Dessert,"butter, dark brown sugar, egg, ground cloves, ground cinnamon, ground nutmeg, salt, baking soda, all-purpose flour, milk, golden raisin, pecans, apple",336.3,15.1,5.7,38.7,276.2,49.2,2.3,31.2,3.9,14
High Tea Lemon Cookies,15,Dessert,"butter, powdered sugar, lemon zest, vanilla extract, flour, cornstarch, butter, lemon zest, fresh lemon juice, powdered sugar",254.8,14.4,9.1,38.0,102.7,31.1,0.3,18.4,1.0,17
Fruit Salad With Creamy Banana Dressing,15,Dessert,"pineapple chunks, cantaloupe, honeydew melon, blackberry, strawberry, red grapes, apple, bananas, honey, lemon juice, nutmeg",133.5,0.5,0.1,0.0,9.3,34.3,3.7,27.4,1.5,47
Diner-Style Strawberry Shortcake,2,Dessert,"flour, baking powder, salt, skim milk, unsalted butter, vanilla extract, eggs, sugar, fresh strawberries, gelatin, heavy cream, confectioners' sugar, vanilla extract",369.9,19.2,11.4,115.2,185.8,44.7,1.6,28.9,5.2,43
Beves' Yummy Low Fat Lemon Dessert,10,Dessert,"low-fat graham cracker, fat free cream cheese, reduced-fat cream cheese, powdered sugar, vanilla, lemon juice, lemon flavor instant pudding and pie filling, low-fat milk, nonfat milk, Cool Whip",162.2,5.4,4.5,3.0,231.4,24.9,0.0,15.8,4.0,36
Black Bean Donuts,15,Dessert,"black beans, baking powder, baking soda, apple cider vinegar, vanilla, cocoa powder, salt, artificial sweetener, sugar, egg, applesauce, peanut butter, powdered sugar, milk, vanilla",107.5,1.8,0.6,16.0,195.9,20.6,3.4,10.1,4.0,20
Holiday Molasses Cookies,15,Dessert,"all-purpose flour, baking soda, salt, ginger, cinnamon, shortening, sugar, molasses, egg, boiling water, vinegar",77.8,2.3,0.6,4.4,93.1,13.4,0.2,6.0,0.9,14
Bananas Foster Crunch Cake,15,Dessert,"butter, margarine, granulated sugar, eggs, light rum, vanilla extract, all-purpose flour, cornmeal, baking powder, salt, all-purpose flour, pecans, brown sugar, butter, margarine",521.2,18.5,9.5,73.8,316.9,82.0,3.8,41.2,6.5,5
Turkey Gyros,15,Lunch/Snacks,"turkey breast tenderloin, olive oil, cucumber, reduced-fat sour cream, onion, dill weed, lemon juice, lettuce, tomatoes, feta cheese",286.5,8.6,4.5,57.2,355.9,31.2,2.2,3.6,21.1,38
Curried Tofu Egg Salad Sandwich,10,Lunch/Snacks,"soft tofu, mayonnaise, curry powder, turmeric, onions, carrots, carrots, celery & leaves, salt, garlic powder, fresh basil leaves, cucumbers, fresh ground black pepper, mayonnaise, yellow mustard",140.1,9.2,1.4,3.8,270.8,8.6,1.0,3.0,8.1,19
Guacamole Grilled Cheese Sandwich,12,Lunch/Snacks,"avocados, onion, garlic clove, cilantro leaves, fresh lime juice, coarse salt, black pepper, roma tomato, cheddar cheese, butter",702.8,49.8,16.5,58.8,1202.3,48.5,16.0,5.8,22.6,6
Curried Tofu Cutlets,10,Lunch/Snacks,"flour, curry powder, dried thyme, dried sage, pepper, salt, firm tofu, olive oil, butter, lemon",342.4,30.1,10.2,30.5,271.8,11.6,2.6,1.5,10.7,12
Tuna or Chicken  Melt,6,Lunch/Snacks,"English muffins, green onion, mayonnaise, Lea & Perrins Worcestershire Sauce, horseradish, mustard, cayenne pepper, solid white tuna, tomatoes, sharp cheddar cheese",614.1,30.7,9.5,76.8,1234.2,37.0,3.1,6.4,46.9,39
Chicken Salad Croissants,15,Lunch/Snacks,"celery, raisins, dried cranberries, mayonnaise, salt, pepper, fresh parsley, prepared mustard, lemon juice, lettuce leaves",571.3,32.8,10.1,100.9,784.4,46.0,3.3,15.3,24.5,43
Herb Garlic Beans,15,Lunch/Snacks,"olive oil, onion, celery, carrot, garlic clove, red kidney beans, black beans, pinto beans, canned whole tomatoes, fresh thyme, white wine",700.5,11.6,1.7,0.0,74.4,113.3,38.3,3.9,40.0,32
Easy Vegan Bean Spread,15,Lunch/Snacks,"yellow onion, olive oil, garlic clove, celery, green bell pepper, tomato paste, white vinegar, salt, fresh ground pepper, fresh parsley, fresh lemon juice, cumin, cilantro leaf, cayenne",125.6,9.2,1.3,0.0,580.7,10.4,2.4,5.3,1.8,7
Sun-Dried Tomato Hummus Dip or Sandwich (Cinch! Friendly),10,Lunch/Snacks,"celery ribs, cherry tomatoes, carrot, green pepper, sun-dried tomatoes, garbanzo beans, tahini, olive oil, lemon juice, lemon zest, garlic clove, coarse black pepper, paprika, fresh dill",458.4,16.5,2.3,0.0,755.4,67.0,13.8,10.6,14.8,6
Tuna and Chickpea Salad,10,Lunch/Snacks,"tuna in olive oil, chickpeas, cherry tomatoes, red onion, flat leaf parsley, mint, olive oil, red wine vinegar, brown sugar, sea salt, cracked black pepper",593.2,24.8,3.5,32.9,1046.8,53.0,11.4,4.0,40.1,24
LONDON BROIL WITH CREAMY HORSERADISH SAUCE,15,Meat,"garlic cloves, fresh lemon juice, Worcestershire sauce, red wine, soy sauce, honey, top round beef, sour cream, Dijon mustard, Worcestershire sauce, cider vinegar, fresh chives",321.2,16.5,7.4,112.8,383.0,6.3,0.5,4.4,33.2,17
Savory Hamburger Soup,10,Meat,"carrot, onions, water, lean ground beef, tomato sauce, water, dry red wine, sugar, salt, garlic powder, pepper, cheddar cheese",294.2,14.0,6.1,81.1,1079.4,12.8,3.1,8.5,26.6,7
Beef &amp; Scallop Stir-Fry,11,Meat,"garlic, beef, red pepper flakes, sea scallops, red pepper flakes, green onions, water, fresh ginger, white pepper, salt",895.4,87.7,34.7,132.8,950.4,5.4,0.9,0.8,20.2,29
Spicy Steak Fajitas - Mexico,14,Meat,"flour tortillas, lime juice, olive oil, red bell pepper, green bell pepper, red onion, red pepper flakes, chili powder, salt, salsa, sour cream, avocados",473.2,21.1,6.9,102.2,986.9,33.1,6.0,8.4,39.3,18
Juicy and Spicy Marinade (Pollo and Carne Asada),10,Meat,"garlic cloves, lemon, juice and zest of, lime, juice and zest of, orange, juice and zest of, low sodium chicken broth, olive oil, sea salt, fresh ground black pepper, crushed red pepper flakes, Worcestershire sauce, ground cumin, oregano",84.5,3.9,0.6,0.0,1341.0,13.2,2.4,2.5,1.6,6
Kai Bi (Korean Style Grilled Short Ribs),15,Meat,"kosher salt, low sodium soy sauce, onion, garlic cloves, fresh ginger, honey, green onions, rice wine, fresh ground black pepper, water",1000.7,84.6,36.1,172.4,1208.2,23.5,2.1,16.6,35.2,18
Pan-Seared Burgers,15,Meat,"egg, cold water, beef broth, onion, garlic clove, Dijon mustard, prepared mustard, salt, fresh ground pepper, lean ground beef, canola oil",253.1,13.0,5.1,120.2,462.0,6.8,0.7,1.1,25.5,40
Hong Kong Burgers,15,Meat,"ground beef, bean sprouts, soy sauce, onion powder, garlic powder, pepper, cheese slices, cheddar cheese, lettuce, tomatoes, chili sauce, mayonnaise",643.3,33.9,13.3,113.7,1347.1,43.4,3.6,6.8,40.2,6
Zesty Burgers,15,Meat,"beef, water, instant beef bouillon, lemon, rind of, lemon juice, salt, sage, ginger, pepper",1604.9,161.9,67.1,224.7,780.5,13.9,1.1,1.2,21.2,32
"Big John's Mid-Eastern Beef Skewers ( Kabab, Kebab )",15,Meat,"ground beef, egg, garlic cloves, onion, fresh parsley, salt, oregano, black pepper, thyme, cumin",262.5,17.9,6.9,112.4,475.5,1.5,0.2,0.4,22.4,46
Peanut Sauce Vegetable Stir Fry With Tofu,15,Rice,"head broccoli, red bell pepper, mushrooms, extra firm tofu, hot water, vinegar, soy sauce, peanut butter, cayenne pepper, cooked rice",529.0,24.2,4.7,0.0,714.0,60.1,7.8,7.4,24.5,42
Honey Dijon Almond Couscous,10,Rice,"water, israeli couscous, olive oil, red onion, red bell pepper, carrot, raisins, ground turmeric, ground cinnamon, honey, Dijon mustard, lemon zest",316.8,7.3,1.0,0.0,58.3,57.7,3.7,20.0,6.5,50
Southern Indian Lemon Rice With Peanuts,10,Rice,"black mustard seeds, Urad Dal, channa dal, serrano chili, curry leaves, turmeric, hing, cooked white rice, salt, roasted peanuts, cilantro",559.6,21.9,2.9,0.0,114.4,79.7,3.7,1.6,11.1,19
Insalata Di Riso (Rice Salad),15,Rice,"rice, tuna, fontina, swiss cheese, capers, tomatoes, mushroom, peas, hard-boiled eggs, parsley, olive oil, lemon juice",586.3,26.5,8.3,54.5,388.1,59.5,1.4,0.6,25.5,27
Steamed Asparagus With Ginger Garlic Sauce,15,Rice,"asparagus, cornstarch, water, soy sauce, sherry wine, sugar, salt, ginger, garlic, sesame seeds, cooked rice",159.8,7.5,1.1,0.0,828.7,16.6,5.6,4.4,7.7,41
Screeching Black Cat Salad,10,Rice,"black rice, wild rice, carrots, golden raisin, raisins, lemon juice, salt, chili powder, ground cumin, ground coriander, green leaf lettuce",466.7,1.4,0.3,0.0,354.4,105.5,6.6,14.8,8.7,27
Asian Twisted Rice Salad,10,Rice,"rice, carrot, green onions, scallion, celery, apple, water chestnut, peas, snow peas, spinach, tamari, lime juice, grapefruit juice, garlic clove",933.0,38.2,5.4,0.0,532.8,130.9,6.5,7.0,17.0,24
Mardi Gras Rice,15,Rice,"cooked rice, frozen green pea, frozen corn, red cabbage, green pepper, green onions, parsley, mayonnaise, curry powder, lettuce leaf",152.6,0.4,0.1,0.0,26.2,33.3,2.0,1.9,3.9,13
Cinnamon Curry Rice,15,Rice,"onions, potatoes, carrot, apple, curry powder, flour, garlic, water, butter, rice, cinnamon",3892.1,94.2,39.2,269.6,630.4,647.4,42.6,39.6,110.7,22
Rainbow Rice (Fried Rice),2,Rice,"cooked rice, pork, shrimp, egg, green onions, salt, broth, water, light soy sauce, white pepper",421.4,16.8,3.3,106.1,4238.5,57.4,1.6,1.1,9.3,37
